Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,43.000000,43.689999,41.500000,43.669998,42.408226,4982727
2016-01-05,44.279999,45.330002,43.660000,44.590000,43.301643,2554024
2016-01-06,44.959999,46.189999,43.810001,44.599998,43.311348,4047421
2016-01-07,43.349998,44.439999,42.619999,43.150002,41.903248,2258307
2016-01-08,42.950001,43.139999,40.070000,40.540001,39.368660,2456643
2016-01-11,39.500000,40.369999,38.700001,39.320000,38.183910,4552899
2016-01-12,40.000000,40.700001,39.799999,40.509998,39.339527,2191574
2016-01-13,40.500000,40.660000,39.689999,40.049999,38.892818,1980630
2016-01-14,39.410000,39.639999,37.439999,38.200001,37.096272,2516956
2016-01-15,37.750000,38.160000,36.580002,36.950001,35.882389,2082351
2016-01-18,36.959999,37.599998,35.410000,35.730000,34.697636,1039639
2016-01-19,36.599998,38.799999,36.570000,38.799999,37.678936,1845598
2016-01-20,37.290001,37.900002,35.250000,36.200001,35.154060,1776040
2016-01-21,36.799999,37.599998,36.419998,37.500000,36.416492,1791394
2016-01-22,38.500000,38.799999,37.509998,38.619999,37.504139,1476133
2016-01-25,39.200001,39.220001,37.450001,37.450001,36.367943,1014895
2016-01-26,37.049999,38.169998,36.459999,37.849998,36.756382,1397169
2016-01-27,37.900002,38.439999,37.160000,37.910000,36.814651,991569
2016-01-28,37.869999,38.040001,36.310001,36.310001,35.260883,1085476
2016-01-29,37.369999,37.369999,36.000000,36.599998,35.542500,890465
2016-02-01,36.599998,36.680000,35.630001,36.500000,35.445389,696768
2016-02-02,36.770000,36.849998,32.939999,33.000000,32.046516,1971915
2016-02-03,33.000000,34.439999,32.000000,32.950001,31.997963,3826104
2016-02-04,33.810001,34.360001,32.000000,34.029999,33.046757,1328437
2016-02-05,34.549999,35.049999,34.000000,34.000000,33.017624,1218151
2016-02-08,34.549999,34.720001,32.320000,32.320000,31.386164,935207
2016-02-09,31.600000,31.950001,29.920000,30.400000,29.521639,1562180
2016-02-10,30.059999,32.320000,29.100000,30.290001,29.414818,1665071
2016-02-11,29.450001,29.650000,27.910000,28.000000,27.190985,1845964
2016-02-12,28.740000,30.040001,28.010000,30.040001,29.172043,1072836
2016-02-15,30.950001,31.500000,30.110001,31.090000,30.191702,1053213
2016-02-16,31.469999,31.469999,30.440001,31.209999,30.308235,688545
2016-02-17,31.570000,34.799999,31.430000,34.450001,33.454620,1687005
2016-02-18,35.279999,35.790001,34.279999,34.660000,33.658554,1928082
2016-02-19,34.500000,34.970001,33.580002,34.360001,33.367222,941920
2016-02-22,34.939999,36.049999,34.820000,35.970001,34.930706,1114981
2016-02-23,35.639999,36.180000,35.090000,35.250000,34.231506,660668
2016-02-24,35.299999,35.689999,33.580002,34.410000,33.415779,1166949
2016-02-25,34.980000,35.000000,33.509998,34.799999,33.794510,845586
2016-02-26,34.980000,35.540001,34.810001,35.290001,34.270351,962981
2016-02-29,35.209999,35.590000,34.529999,35.590000,34.561680,1247044
2016-03-01,34.849998,35.959999,34.799999,35.919998,34.882145,1087257
2016-03-02,36.230000,36.529999,35.910000,36.099998,35.056942,821434
2016-03-03,36.299999,36.299999,35.599998,35.919998,34.882145,699543
2016-03-04,36.000000,36.000000,35.259998,36.000000,34.959835,639312
2016-03-07,35.990002,36.680000,35.570000,36.680000,35.620190,893955
2016-03-08,36.790001,38.200001,36.520000,37.790001,36.698116,1560995
2016-03-09,37.250000,38.250000,37.200001,38.099998,36.999157,1000191
2016-03-10,38.130001,38.990002,36.720001,36.810001,35.746433,1578587
2016-03-11,37.639999,38.240002,37.450001,37.889999,36.795227,832185
2016-03-14,38.200001,38.570000,37.709999,38.169998,37.067139,774383
2016-03-15,37.779999,37.849998,37.070000,37.369999,36.290253,654688
2016-03-16,37.529999,37.910000,37.150002,37.689999,36.601006,474384
2016-03-17,38.160000,38.209999,37.119999,37.919998,36.824360,768588
2016-03-18,38.099998,38.130001,37.680000,37.799999,36.707829,803375
2016-03-21,37.509998,37.919998,37.290001,37.580002,36.494186,438646
2016-03-22,37.250000,37.680000,36.459999,37.299999,36.222275,710869
2016-03-23,37.250000,37.750000,36.709999,36.779999,35.717297,476113
2016-03-24,36.680000,36.840000,35.959999,36.529999,35.474518,448754
2016-03-29,36.700001,37.220001,36.110001,36.660000,35.600765,439658
2016-03-30,36.770000,37.439999,36.650002,37.220001,36.144585,559384
2016-03-31,37.220001,37.290001,36.459999,36.500000,35.445389,563505
2016-04-01,36.000000,36.230000,35.720001,35.900002,34.862724,623952
2016-04-04,35.820000,36.380001,35.639999,36.290001,35.241459,471930
2016-04-05,35.889999,35.919998,35.250000,35.389999,34.367458,523551
2016-04-06,35.650002,36.200001,35.150002,36.200001,35.154060,619763
2016-04-07,36.169998,36.570000,35.480000,35.549999,34.522839,671409
2016-04-08,35.680000,36.610001,35.619999,36.310001,35.260883,650554
2016-04-11,35.889999,36.380001,35.320000,36.360001,35.309437,598486
2016-04-12,36.360001,36.580002,35.790001,36.020000,34.979256,612322
2016-04-13,36.490002,37.200001,36.490002,37.000000,35.930946,721697
2016-04-14,37.200001,37.790001,36.840000,37.500000,36.416492,747522
2016-04-15,37.790001,38.880001,37.349998,38.700001,37.581825,1165460
