Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,146.529999,146.990005,143.880005,144.929993,117.117462,204935600
2008-01-03,144.910004,145.490005,144.070007,144.860001,117.060890,125133300
2008-01-04,143.339996,143.440002,140.910004,141.309998,114.192131,232330900
2008-01-07,141.809998,142.229996,140.100006,141.190002,114.095154,234991000
2008-01-08,142.080002,142.899994,138.440002,138.910004,112.252747,326365700
2008-01-09,139.089996,140.789993,137.699997,140.369995,113.432526,301824900
2008-01-10,139.679993,142.800003,139.369995,141.289993,114.175957,335701200
2008-01-11,140.779999,141.899994,139.000000,140.149994,113.254723,267076600
2008-01-14,141.160004,141.860001,140.399994,141.279999,114.167892,170365500
2008-01-15,139.789993,141.490005,137.899994,138.169998,111.654732,239940100
2008-01-16,137.360001,139.119995,136.279999,136.979996,110.693085,378802600
2008-01-17,137.809998,137.880005,132.929993,133.429993,107.824326,397892600
2008-01-18,134.740005,135.020004,131.100006,132.059998,106.717247,348561500
2008-01-22,127.209999,132.429993,126.000000,130.720001,105.634415,435923700
2008-01-23,127.089996,134.190002,126.839996,133.860001,108.171806,511913000
2008-01-24,134.479996,135.460007,133.309998,134.990005,109.084976,259949300
2008-01-25,136.509995,136.759995,132.600006,133.039993,107.509178,269603900
2008-01-28,133.259995,135.520004,132.059998,135.240005,109.287018,217934600
2008-01-29,136.100006,136.449997,134.880005,135.910004,109.828445,168968300
2008-01-30,135.580002,138.539993,134.600006,134.910004,109.020302,334939200
2008-01-31,133.399994,138.539993,133.199997,137.369995,111.008209,343680800
2008-02-01,137.940002,139.610001,137.520004,139.580002,112.794136,206843600
2008-02-04,139.210007,139.300003,137.639999,137.820007,111.371880,124694300
2008-02-05,135.940002,136.250000,133.669998,134.130005,108.390007,286882500
2008-02-06,134.580002,135.250000,132.410004,133.050003,107.517265,250792900
2008-02-07,131.800003,134.789993,131.729996,133.929993,108.228355,297368100
2008-02-08,133.089996,134.220001,132.100006,133.070007,107.533432,221643500
